Voter Name,Affiliation,1st,2nd,3rd,4th,5th
Fred Katz,The Athletic,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","George, Paul (OKC)","Durant, Kevin (GSW)","Curry, Stephen (GSW)"
Marc Kestecher,ESPN,"Harden, James (HOU)","Antetokounmpo, Giannis (MIL)","George, Paul (OKC)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)"
Nira Khurana,Perform,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","Jokic, Nikola (DEN)","George, Paul (OKC)","Curry, Stephen (GSW)"
Kennegh Lau,BesTV,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","Curry, Stephen (GSW)","Durant, Kevin (GSW)","Embiid, Joel (PHI)"
Kristen Ledlow,Turner Sports,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","George, Paul (OKC)","Curry, Stephen (GSW)","Embiid, Joel (PHI)"
Brian Lewis,New York Post,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","George, Paul (OKC)","Curry, Stephen (GSW)","Jokic, Nikola (DEN)"
Massimo Lopes Pegna,La Gazzetta dello Sport,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","Embiid, Joel (PHI)","Westbrook, Russell (OKC)","Curry, Stephen (GSW)"
Zach Lowe,ESPN,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","George, Paul (OKC)","Jokic, Nikola (DEN)","Lillard, Damian (POR)"
Tim MacMahon,ESPN,"Harden, James (HOU)","Antetokounmpo, Giannis (MIL)","Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Curry, Stephen (GSW)"
Jackie MacMullan,ESPN,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","George, Paul (OKC)","Curry, Stephen (GSW)","Jokic, Nikola (DEN)"
Brian Mahoney,Associated Press,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","George, Paul (OKC)","Jokic, Nikola (DEN)","Lillard, Damian (POR)"
Rob Mahoney,Sports Illustrated,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","George, Paul (OKC)","Lillard, Damian (POR)","Jokic, Nikola (DEN)"
Maxime Malet,L'Equipe,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","Curry, Stephen (GSW)","George, Paul (OKC)","Embiid, Joel (PHI)"
Chris Mannix,Sports Illustrated,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","Jokic, Nikola (DEN)","George, Paul (OKC)","Lillard, Damian (POR)"
Diego Martinez,Reforma,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","Leonard, Kawhi (TOR)","Jokic, Nikola (DEN)","Embiid, Joel (PHI)"
Jeff McDonald,San Antonio Express‐News,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","George, Paul (OKC)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)"
Dave McMenamin,ESPN,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","Curry, Stephen (GSW)","George, Paul (OKC)","Embiid, Joel (PHI)"
Reggie Miller,Turner Sports,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","Curry, Stephen (GSW)","George, Paul (OKC)","Durant, Kevin (GSW)"
NBA.com Fan Voting,,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","George, Paul (OKC)","Curry, Stephen (GSW)","James, LeBron (LAL)"
Rachel Nichols,ESPN,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","George, Paul (OKC)","Jokic, Nikola (DEN)","Lillard, Damian (POR)"
